"years","patent_number","uspc_subclass_id","assignee_organization","assignee_type","assignee_country","assignee_state","assignee_key_id","num_inventors","specialization"
1978,"4129103","123/54.4","AB Volvo Penta",3,"SE","",290053,1,"123/73D"
1978,"4129104","123/406.73","Hitachi, Ltd.",3,"JP","",436191,1,"180/179"
1978,"4129105","123/681","Nippondenso Co., Ltd.",3,"JP","",316278,7,"123/703"
1978,"4129107","123/146.5A","General Motors Corporation",2,"US","MI",38960,1,"180/78"
1978,"4129109","123/198F","Nissan Motor Co., Ltd.",3,"JP","",43058,1,"180/90"
1978,"4129256","123/506","General Motors Corporation",2,"US","MI",38960,3,"180/78"
1978,"4129404","123/195A","Daimler-Benz Aktiengesellschaft",3,"DE","",329040,2,"180/68.5"
1978,"4129620","123/575","Fuji Jukogyo Kabushiki Kaisha",3,"JP","",265171,1,"123/577"
1978,"4130093","123/676","Nissan Motor Co., Ltd.",3,"JP","",43058,1,"180/90"
1978,"4130094","123/568.27","Ford Motor Company",2,"US","MI",172641,1,"180/65.1"
1978,"4130095","123/675","General Motors Corporation",2,"US","MI",38960,2,"180/78"
1978,"4130096","123/406.41","Lumenition Limited",3,"GB","",102285,1,"123/406.41"
1978,"4130098","123/698","Robert Bosch GmbH",3,"DE","",423181,4,"180/401"
1978,"4130100","123/373","Mitsubishi Jukogyo Kabushiki Kaisha",3,"JP","",78107,2,"123/65.SP"
1978,"4130101","123/630","Robert Bosch GmbH",3,"DE","",423181,6,"180/401"
1978,"4130159","123/41.54","Nippondenso Co., Ltd.",3,"JP","",316278,2,"123/703"
1978,"4130267","123/585","Aisin Seiki Kabushiki Kaisha",3,"JP","",71419,2,"180/169"
1978,"4130863","123/487","Optimizer Control Corporation",2,"US","MN",131266,2,"123/487"
1978,"4131086","123/3","Nippon Soken, Inc.",3,"JP","",384280,3,"180/271"
1978,"4131087","123/692","The Lucas Electrical Company Limited",3,"GB","",446766,1,"123/692"
1978,"4131088","123/494","The Bendix Corporation",2,"US","MI",47634,1,"180/428"
1978,"4131089","123/695","Nissan Motor Co., Ltd.",3,"JP","",43058,6,"180/90"
1978,"4131091","123/682","Nissan Motor Co., Ltd.",3,"JP","",43058,2,"180/90"
1978,"4131092","123/274","Honda Giken Kogyo Kabushiki Kaisha",3,"JP","",439112,3,"180/428"
1978,"4131093","123/41.85","National Research Development Corporation",3,"GB","",349614,1,"180/6.5"
1978,"4131095","123/58.8","Nissan Motor Co., Ltd.",3,"JP","",43058,1,"180/90"
1978,"4131097","123/406.42","Toyota Jidosha Kabushiki Kaisha",3,"JP","",2267,7,"180/89.2"
1978,"4131098","123/406.13","Chrysler Corporation",2,"US","MI",161403,2,"180/270"
1978,"4131100","123/598","Autotronic Controls Corporation",2,"US","TX",365084,1,"123/598"
1978,"4131101","123/195C","General Motors Corporation",2,"US","MI",38960,1,"180/78"
1978,"4131156","123/41.49","Caterpillar Tractor Co.",2,"US","IL",298496,4,"180/90"
1979,"4132193","123/688","Nissan Motor Co., Ltd.",3,"JP","",43058,3,"180/90"
1979,"4132194","123/672","Nissan Motor Co., Ltd.",3,"JP","",43058,1,"180/90"
1979,"4132195","123/482","Robert Bosch GmbH",3,"DE","",423181,5,"180/313"
1979,"4132196","123/90.39","Toledo Stamping & Manufacturing Company",2,"US","OH",423290,1,"123/90.39"
1979,"4132197","123/308","Mitsubishi Jidosha Kogyo Kabushiki Kaisha",3,"JP","",77792,3,"180/274"
1979,"4132198","123/443","Nissan Motor Co., Ltd.",3,"JP","",43058,2,"180/90"
1979,"4132199","123/685","Hitachi, Ltd.",3,"JP","",436191,4,"123/685"
1979,"4132200","123/694","Nissan Motor Co., Ltd.",3,"JP","",43058,5,"180/90"
1979,"4132201","123/447","EATON CORPORATION",2,"US","OH",452507,1,"180/6.48"
1979,"4132202","123/502","Diesel Kiki Co., Ltd.",3,"JP","",148189,2,"123/502"
1979,"4132203","123/472","The Bendix Corporation",2,"US","MI",47634,2,"180/429"
1979,"4132204","123/456","Chrysler Corporation",2,"US","MI",161403,1,"123/568.29"
1979,"4132205","123/446","EATON CORPORATION",2,"US","OH",452507,1,"180/6.48"
1979,"4132206","123/374","Robert Bosch GmbH",3,"DE","",423181,4,"180/313"
1979,"4132208","123/406.57","Kokusan Denki Co., Ltd.",3,"JP","",140782,1,"123/406.59"
1979,"4132209","123/169R","Cornell Research Foundation, Inc.",2,"US","NY",382948,1,"123/430"
1979,"4132210","123/179.17","Allied Chemical Corporation",2,"US","NJ",122439,1,"123/491"
1979,"4132211","123/453","Robert Bosch GmbH",3,"DE","",423181,3,"180/313"
1979,"4132212","123/268","Nippon Soken, Inc.",3,"JP","",384280,4,"123/700"
1979,"4132247","123/25E","Owen, Wickersham & Erickson",2,"US","CA",254810,1,"123/574"
1979,"4132508","123/502","C.A.V. Limited",3,"GB","",378874,1,"123/502"
1979,"4133172","123/294","General Motors Corporation",2,"US","MI",38960,1,"180/9.5"
1979,"4133185","123/41.12","Paccar Inc",2,"US","WA",42185,1,"123/41.12"
1979,"4133320","123/484","Robert Bosch GmbH",3,"DE","",423181,2,"180/313"
1979,"4133321","123/470","Robert Bosch GmbH",3,"DE","",423181,2,"180/313"
1979,"4133322","123/308","Mitsubishi Jidosha Kogyo Kabushiki Kaisha",3,"JP","",77792,7,"180/274"
1979,"4133323","123/406.64","Robert Bosch GmbH",3,"DE","",423181,1,"180/313"
1979,"4133324","123/406.7","Honda Giken Kogyo Kabushiki Kaisha",3,"JP","",439112,2,"180/423"
1979,"4133325","123/406.53","General Motors Corporation",2,"US","MI",38960,1,"180/9.5"
1979,"4133326","123/682","Lucas Industries public limited company",3,"GB","",175705,2,"180/65.6"
1979,"4133327","123/548","Nissan Motor Co., Ltd.",3,"JP","",43058,1,"180/90"
1979,"4133328","123/521","General Motors Corporation",2,"US","MI",38960,1,"180/9.5"
1979,"4133330","123/638","Nissan Motor Co., Ltd.",3,"JP","",43058,3,"180/90"
1979,"4133331","123/638","Nissan Motor Co., Ltd.",3,"JP","",43058,3,"180/90"
1979,"4133332","123/198F","The Torrington Company",2,"US","CT",394986,2,"123/198F"
1979,"4133349","123/41.12","Robertshaw Controls Company",2,"US","VA",405316,1,"123/41.12"
1979,"4133406","123/352","VDO Adolf Schindling AG",3,"DE","",198300,2,"180/179"
1979,"4133408","123/389","General Motors Corporation",2,"US","MI",38960,2,"180/9.5"
