years,patent_number,uspc_subclass_id,assignee_organization,assignee_type,assignee_id,assignee_country,assignee_state,assignee_key_id,num_inventors,specialization
1980,4223647,123/58.1,Regie Nationale des Usines Renault,3,org_EQiAowmpAcw5pli4YOGe,FR,,142485,1.0,180/426
1980,4223648,123/90.16,General Motors Corporation,2,org_5EOe5KemY3Qx7Gr7dlJQ,US,MI,38960,2.0,180/69.21
1980,4223651,123/438,Colt Industries Operating Corp.,2,org_uxOB1c7uIr4oU9ZBDLZY,US,NY,381578,2.0,180/177
1980,4223653,123/366,Robert Bosch GmbH,3,org_Xrxwlxzdisd5wBuRz364,DE,,423181,4.0,180/335
1980,4223654,123/358,Robert Bosch GmbH,3,org_Xrxwlxzdisd5wBuRz364,DE,,423181,4.0,180/335
1980,4223655,123/463,Centro Ricerche Fiat S.p.A.,3,org_wDVoacdlMEJVs9aW9vIn,IT,,401685,2.0,123/518
1980,4223656,123/597,"Motorola, Inc.",2,org_NKsxikGVm2cvWxVCf6ze,US,IL,272459,1.0,123/618
1980,4223657,123/198D,"Kokusan Kenki Co., Ltd.",3,org_ZljoiR7tZsaqVnWjFtuN,JP,,449510,3.0,123/198D
1980,4224044,123/518,General Motors Corporation,2,org_5EOe5KemY3Qx7Gr7dlJQ,US,MI,38960,1.0,180/69.21
1980,4224068,123/633,General Motors Corporation,2,org_5EOe5KemY3Qx7Gr7dlJQ,US,MI,38960,1.0,180/69.21
1980,4224554,123/633,"NGK Spark Plug Co., Ltd.",3,org_cxgkrEYbEyIJWgEfjE8W,JP,,116474,3.0,123/653
1980,4224792,123/41.85,"Nissan Motor Co., Ltd.",3,org_5vNXv1xWJ6aH9VmhCVri,JP,,43058,2.0,180/90
1980,4224794,123/320,"Cummins Engine Company, Inc.",2,org_awogNg609WYKBbax3pN5,US,IN,86756,1.0,123/563
1980,4224902,123/280,Daimler-Benz Aktiengesellschaft,3,org_RfsqqmkbFTkrFXKfjR3X,DE,,329040,4.0,180/401
1980,4224903,123/300,Lucas Industries public limited company,3,org_gyjgTFSEfemBKT0a88L9,GB,,175705,1.0,123/90.5
1980,4224906,123/568.14,Daimler-Benz Aktiengesellschaft,3,org_RfsqqmkbFTkrFXKfjR3X,DE,,329040,1.0,180/401
