years,patent_number,uspc_subclass_id,assignee_organization,assignee_type,assignee_id,assignee_country,assignee_state,assignee_key_id,num_inventors,specialization
1980,4235214,123/169V,Kabushiki Kaisha IDK,3,org_l0MOUBrHVRovvX05u187,JP,,235690,1.0,123/169V
1980,4235215,123/179.21,Daimler-Benz Aktiengesellschaft,3,org_RfsqqmkbFTkrFXKfjR3X,DE,,329040,3.0,180/401
1980,4235298,123/198E,Freightliner Corporation,2,org_Bf17u9r73XgJqL6MxnQp,US,OR,92999,4.0,180/68.3
1980,4235374,123/456,The Bendix Corporation,2,org_6jWVXUock8hnH1uTSjxm,US,MI,47634,4.0,180/428
1980,4235375,123/470,The Bendix Corporation,2,org_6jWVXUock8hnH1uTSjxm,US,MI,47634,1.0,180/428
1980,4236214,123/406.51,"Hitachi, Ltd.",3,org_yOSqt2KbCZQB2LRNpEKS,JP,,436191,1.0,180/309
1980,4236490,123/260,"A. C. Engines, Inc.",2,org_Zmsovi4SLNaXUA95KavK,US,LA,450143,1.0,123/260
1980,4236491,123/406.37,Toyota Jidosha Kabushiki Kaisha,3,org_0eDis9QrietKKeULTT5r,JP,,2267,7.0,180/84
1980,4236492,123/563,Klockner-Humboldt-Deutz Aktiengesellschaft,3,org_rYl8az7CpE0BvQvezLyK,DE,,337800,1.0,123/572
1980,4236493,123/568.27,"Nissan Motor Co., Ltd.",3,org_5vNXv1xWJ6aH9VmhCVri,JP,,43058,4.0,180/90
1980,4236494,123/630,Outboard Marine Corporation,2,org_icOeR6vUjVNKnOf3kYqL,US,IL,194737,1.0,180/343
1980,4236495,123/188.8,"Rosan, Inc.",2,org_w3K7HDAPx3pK78jPqHme,US,CA,398243,1.0,123/188.9
1980,4236899,123/3,Siemens Aktiengesellschaft,3,org_sjBcd9w8ySbfCi2G0P0K,DE,,345236,9.0,123/652
